Group,Time,Id,User,Message,is na?,Hour,Minute,Time 2
group 1,12/29/2015 2:17,anon,User 2,HI phoebe,FALSE,2,17,12/29/2015 2:17
group 1,12/29/2015 2:17,anon,User 2,are you still hungry?,FALSE,2,17,12/29/2015 2:17
group 1,12/29/2015 2:17,anon,User 1,Hi Minah,FALSE,2,17,12/29/2015 2:17
group 1,12/29/2015 2:17,anon,User 1, :grin:,FALSE,2,17,12/29/2015 2:17
group 1,12/29/2015 2:17,anon,User 1, :yum: :yum: :yum:,FALSE,2,17,12/29/2015 2:17
group 1,12/29/2015 2:17,anon,User 1,hi,FALSE,2,17,12/29/2015 2:17
group 1,12/29/2015 2:17,anon,User 2,this is prettycool,FALSE,2,17,12/29/2015 2:17
group 1,12/29/2015 2:18,anon,User 1, :smiley: :smiley: :smiley:,FALSE,2,18,12/29/2015 2:18
group 1,12/29/2015 2:18,anon,User 2,do you like maangchi,FALSE,2,18,12/29/2015 2:18
group 1,12/29/2015 2:18,anon,User 2, :sunglasses:,FALSE,2,18,12/29/2015 2:18
group 1,12/29/2015 2:19,anon,User 2, :grin:,FALSE,2,19,12/29/2015 2:19
group 1,12/29/2015 2:19,anon,User 2, :joy:,FALSE,2,19,12/29/2015 2:19
group 11,12/29/2015 2:54,R_T8cXjYB422ViqaZ,User 2,Hi,FALSE,2,54,12/29/2015 2:54
group 11,12/29/2015 2:54,R_T8cXjYB422ViqaZ,User 2,it works!,FALSE,2,54,12/29/2015 2:54
group 11,12/29/2015 2:54,R_2z7rLJst6UWsg3p,User 1,hi there,FALSE,2,54,12/29/2015 2:54
group 11,12/29/2015 2:54,R_2z7rLJst6UWsg3p,User 1,"1.	Given the choice of anyone in the world, whom would you want as a dinner guest?",FALSE,2,54,12/29/2015 2:54
group 11,12/29/2015 2:54,R_T8cXjYB422ViqaZ,User 2, :smiley:,FALSE,2,54,12/29/2015 2:54
