Group,Time,Id,User,Message,Message filtered,Source,Script
group 1,12/29/2015 2:16,,System,>> User 1 has Connected,,,
group 1,12/29/2015 2:17,,System,>> All chat participants have arrived. You may now chat!,,,
group 1,12/29/2015 2:17,,System,>> User 2 has Connected,,,
group 1,12/29/2015 2:17,anon,User 2,HI phoebe,,,
group 1,12/29/2015 2:17,anon,User 2,are you still hungry?,,,
group 1,12/29/2015 2:17,anon,User 1,Hi Minah,,,
group 1,12/29/2015 2:17,anon,User 1, :grin:,,,
group 1,12/29/2015 2:17,anon,User 1, :yum: :yum: :yum:,,,
group 1,12/29/2015 2:17,anon,User 1,hi,,,
group 1,12/29/2015 2:17,anon,User 2,this is prettycool,,,
group 1,12/29/2015 2:18,anon,User 1, :smiley: :smiley: :smiley:,,,
group 1,12/29/2015 2:18,anon,User 2,do you like maangchi,,,
group 1,12/29/2015 2:18,anon,User 2, :sunglasses:,,,
group 1,12/29/2015 2:18,,System,>> User 1 has Disconnected,,,
group 1,12/29/2015 2:19,anon,User 2, :grin:,,,
group 1,12/29/2015 2:19,anon,User 2, :joy:,,,
group 1,12/29/2015 2:25,,System,>> User 2 has Disconnected,,,
group 1,12/29/2015 2:48,,System,>> This chat has now expired.,,,
group 10,12/29/2015 2:50,,System,>> User 1 has Connected,,,
group 10,12/29/2015 2:52,,System,>> User 1 has Disconnected,,,
group 100,1/9/2016 6:25,,System,>> User 1 has Connected,,,
group 100,1/9/2016 6:26,,System,>> User 1 has Disconnected,,,
group 101,1/9/2016 6:50,,System,>> User 1 has Connected,,,
group 101,1/9/2016 7:06,,System,>> User 1 has Disconnected,,,
group 102,1/9/2016 7:52,,System,>> User 1 has Connected,,,
group 102,1/9/2016 7:53,,System,>> User 1 has Disconnected,,,
group 103,1/9/2016 8:49,,System,>> User 1 has Connected,,,
group 103,1/9/2016 8:52,,System,>> User 1 has Disconnected,,,
group 104,1/9/2016 13:50,,System,>> User 1 has Connected,,,
group 104,1/9/2016 13:56,,System,>> User 1 has Disconnected,,,
group 105,1/9/2016 14:22,,System,>> User 1 has Connected,,,
group 105,1/9/2016 14:24,,System,>> User 1 has Disconnected,,,
group 106,1/9/2016 15:02,,System,>> User 1 has Connected,,,
group 106,1/9/2016 15:21,,System,>> User 1 has Disconnected,,,
group 107,1/9/2016 15:21,,System,>> User 1 has Connected,,,
group 107,1/9/2016 15:22,,System,>> User 1 has Disconnected,,,
group 108,1/9/2016 15:52,,System,>> User 1 has Connected,,,
group 108,1/9/2016 15:55,,System,>> User 1 has Disconnected,,,
group 109,1/9/2016 16:57,,System,>> User 1 has Connected,,,
group 109,1/9/2016 17:03,,System,>> User 1 has Disconnected,,,
group 11,12/29/2015 2:53,,System,>> User 1 has Connected,,,
group 11,12/29/2015 2:54,,System,>> All chat participants have arrived. You may now chat!,,,
group 11,12/29/2015 2:54,,System,>> User 2 has Connected,,,
group 11,12/29/2015 2:54,R_T8cXjYB422ViqaZ,User 2,Hi,,,
group 11,12/29/2015 2:54,R_T8cXjYB422ViqaZ,User 2,it works!,,,
group 11,12/29/2015 2:54,R_2z7rLJst6UWsg3p,User 1,hi there,,,
group 11,12/29/2015 2:54,R_2z7rLJst6UWsg3p,User 1,"1.	Given the choice of anyone in the world, whom would you want as a dinner guest?",,,
group 11,12/29/2015 2:54,R_T8cXjYB422ViqaZ,User 2, :smiley:,,,
group 11,12/29/2015 2:54,R_T8cXjYB422ViqaZ,User 2,My mom,,,
group 11,12/29/2015 2:54,R_T8cXjYB422ViqaZ,User 2,"1.	Given the choice of anyone in the world, whom would you want as a dinner guest?",,,
group 11,12/29/2015 2:59,R_2z7rLJst6UWsg3p,User 1,I would like to invite Daniel Kahneman,,,
group 11,12/29/2015 2:59,R_T8cXjYB422ViqaZ,User 2, :frowning:,,,
group 11,12/29/2015 2:59,R_2z7rLJst6UWsg3p,User 1,How about you?,,,
group 11,12/29/2015 3:02,,System,>> User 1 has Disconnected,,,
group 11,12/29/2015 3:02,,System,>> User 2 has Disconnected,,,
group 11,12/29/2015 3:24,,System,>> This chat has now expired.,,,
group 110,1/9/2016 17:03,,System,>> User 1 has Connected,,,
group 110,1/9/2016 17:04,,System,>> User 1 has Disconnected,,,
group 111,1/9/2016 18:56,,System,>> User 1 has Connected,,,
group 111,1/9/2016 19:04,,System,>> User 1 has Disconnected,,,
group 112,1/9/2016 21:36,,System,>> User 1 has Connected,,,
group 112,1/9/2016 21:37,,System,>> User 1 has Disconnected,,,
