Group,Time,Id,User,Message
group 1,12/29/2015 20:24,,System,>> User 1 has Connected
group 1,12/29/2015 20:28,,System,>> User 1 has Disconnected
group 10,12/29/2015 22:29,,System,>> User 1 has Connected
group 10,12/29/2015 22:38,,System,>> User 1 has Disconnected
group 100,1/10/2016 23:13,,System,>> User 1 has Connected
group 100,1/10/2016 23:14,,System,>> User 1 has Disconnected
group 1000,1/31/2016 23:40,,System,>> User 1 has Connected
group 1000,1/31/2016 23:45,,System,>> User 1 has Disconnected
group 1001,1/31/2016 23:43,,System,>> User 1 has Connected
group 1001,1/31/2016 23:44,,System,>> User 1 has Disconnected
group 1002,1/31/2016 23:45,,System,>> User 1 has Connected
group 1002,1/31/2016 23:46,,System,>> User 1 has Disconnected
group 1003,2/1/2016 0:00,,System,>> User 1 has Connected
group 1003,2/1/2016 0:08,,System,>> User 1 has Disconnected
group 1004,2/1/2016 0:01,,System,>> User 1 has Connected
group 1004,2/1/2016 0:07,,System,>> User 1 has Disconnected
group 1005,2/1/2016 0:11,,System,>> User 1 has Connected
group 1005,2/1/2016 0:17,,System,>> User 1 has Disconnected
group 1006,2/1/2016 0:29,,System,>> User 1 has Connected
group 1006,2/1/2016 0:35,,System,>> User 1 has Disconnected
group 1007,2/1/2016 0:58,,System,>> User 1 has Connected
group 1007,2/1/2016 1:05,,System,>> User 1 has Disconnected
group 1008,2/1/2016 1:15,,System,>> User 1 has Connected
group 1008,2/1/2016 1:22,,System,>> User 1 has Disconnected
group 1009,2/1/2016 1:23,,System,>> User 1 has Connected
group 1009,2/1/2016 1:27,,System,>> All chat participants have arrived. You may now chat!
group 1009,2/1/2016 1:27,,System,>> User 2 has Connected
group 1009,2/1/2016 1:27,R_1DBkZPZMNnon3C4,User 1,Hello!  When was the last time you walked for more than an hour? Describe where you went and what you saw.
group 1009,2/1/2016 1:27,R_1DBkZPZMNnon3C4,User 1,Hello
group 1009,2/1/2016 1:28,R_1DBkZPZMNnon3C4,User 1,?
group 1009,2/1/2016 1:29,R_1DBkZPZMNnon3C4,User 1,Anyone there?
group 1009,2/1/2016 1:30,R_24AuJSLkLaaq4k3,User 2,I can't remember when the last time I walked for more than an hour.  Probably in the military.
group 1009,2/1/2016 1:30,R_24AuJSLkLaaq4k3,User 2,How did you celebrate last Halloween?
group 1009,2/1/2016 1:31,R_1DBkZPZMNnon3C4,User 1,I guess I answer now.  It was in 2010 and I went to a museum.  For Halloween I stayed home and read World War Z.
group 1009,2/1/2016 1:31,R_1DBkZPZMNnon3C4,User 1,And you?
group 1009,2/1/2016 1:31,R_24AuJSLkLaaq4k3,User 2,I stay home on Halloween and hand out candy.
group 1009,2/1/2016 1:32,R_1DBkZPZMNnon3C4,User 1,"If you could invent a new flavor of ice cream, what would it be?"
group 1009,2/1/2016 1:32,R_24AuJSLkLaaq4k3,User 2,Garlic beef stew
group 1009,2/1/2016 1:33,R_1DBkZPZMNnon3C4,User 1,LOL.  Orange chocolate ginger.
group 1009,2/1/2016 1:33,R_1DBkZPZMNnon3C4,User 1,What is your favorite holiday? Why?
group 1009,2/1/2016 1:34,R_24AuJSLkLaaq4k3,User 2,The fourth of July
group 1009,2/1/2016 1:34,R_1DBkZPZMNnon3C4,User 1,"Halloween, because of the orange lights."
group 1009,2/1/2016 1:34,R_1DBkZPZMNnon3C4,User 1,What gifts did you receive on your last birthday?
group 1009,2/1/2016 1:35,R_24AuJSLkLaaq4k3,User 2,I do not pay much attention to birthdays anymore but I did get a bottle of scotch.
group 1009,2/1/2016 1:35,R_1DBkZPZMNnon3C4,User 1,Tickets to the opera and a bobble head.
group 1009,2/1/2016 1:36,R_1DBkZPZMNnon3C4,User 1,Describe the last time you went to the zoo.
group 1009,2/1/2016 1:36,R_24AuJSLkLaaq4k3,User 2,That was a long time ago when my children were young.  It was in LA and they had a good time
group 1009,2/1/2016 1:37,R_1DBkZPZMNnon3C4,User 1,"2006, Washington, kids were young and it was very hot."
group 1009,2/1/2016 1:37,R_1DBkZPZMNnon3C4,User 1,Do you like to get up early or stay up late? Is there anything funny that has resulted from this?
group 1009,2/1/2016 1:38,R_24AuJSLkLaaq4k3,User 2,I usually get up early and normally I am up late.  I don't sleep much.  I can't think of anything funny that this has caused.
group 1009,2/1/2016 1:38,R_1DBkZPZMNnon3C4,User 1,Same for me.
group 1009,2/1/2016 1:38,R_1DBkZPZMNnon3C4,User 1,What did you do this summer?
group 1009,2/1/2016 1:39,R_24AuJSLkLaaq4k3,User 2,Being retired I basically just do normal chores around the house.  We normally do go on vacation to our friends in Chicago.4
group 1009,2/1/2016 1:40,R_1DBkZPZMNnon3C4,User 1,Also retired.  We visited our granddaughter in NYC.
group 1009,2/1/2016 1:40,R_1DBkZPZMNnon3C4,User 1,Who is your favorite actor of your own gender? Describe a favorite scene in which this person has acted.
group 1009,2/1/2016 1:41,R_1DBkZPZMNnon3C4,User 1,My wife loves Chicago.
group 1009,2/1/2016 1:41,R_24AuJSLkLaaq4k3,User 2,Paul Newman.  I like the scene where he is cutting the parking meters off of the poles.
group 1009,2/1/2016 1:42,R_1DBkZPZMNnon3C4,User 1,"Ernest Borgnine, calling Claire in Marty."
group 1009,2/1/2016 1:42,R_1DBkZPZMNnon3C4,User 1,What is your favorite holiday? Why?  Repeat of Q4.
group 1009,2/1/2016 1:43,R_24AuJSLkLaaq4k3,User 2,The fourth of July.  It is in summer when we usually have nice weather.  We are in upstate NY and almost in Canada. Not too many nice days up here.
group 1009,2/1/2016 1:44,R_1DBkZPZMNnon3C4,User 1,What foreign country would you most like to visit? What attracts you to this place?
group 1009,2/1/2016 1:45,R_1DBkZPZMNnon3C4,User 1,Having trouble sending.  Are you receiving chats?
group 1009,2/1/2016 1:45,R_24AuJSLkLaaq4k3,User 2,Yes I am receiving.
group 1009,2/1/2016 1:45,R_1DBkZPZMNnon3C4,User 1,"There, it's on now."
group 1009,2/1/2016 1:45,R_24AuJSLkLaaq4k3,User 2,I would like to go to Peru.  I always wanted to see Machu Picchu.
group 1009,2/1/2016 1:47,R_1DBkZPZMNnon3C4,User 1,Can you see my chat?
group 1009,2/1/2016 1:47,R_1DBkZPZMNnon3C4,User 1,China
group 1009,2/1/2016 1:48,R_24AuJSLkLaaq4k3,User 2,I got that.
group 1009,2/1/2016 1:48,R_1DBkZPZMNnon3C4,User 1,Do you prefer digital watches and clocks or the kind with hands? Why?
