Group,Time,Id,User,Message
"group 1","2/10/2016 6:24:52 AM","","System",">> User 1 has Connected"
"group 1","2/10/2016 6:25:10 AM","","System",">> User 1 has Disconnected"
"group 2","2/10/2016 6:24:52 AM","","System",">> User 1 has Connected"
"group 2","2/10/2016 6:25:10 AM","","System",">> User 1 has Disconnected"
"group 3","2/11/2016 9:03:01 PM","","System",">> User 1 has Connected"
"group 3","2/11/2016 9:21:49 PM","","System",">> User 1 has Disconnected"
"group 4","2/11/2016 9:42:29 PM","","System",">> User 1 has Connected"
"group 4","2/11/2016 9:44:23 PM","","System",">> All chat participants have arrived. You may now chat!"
"group 4","2/11/2016 9:44:23 PM","","System",">> User 2 has Connected"
"group 4","2/11/2016 9:44:29 PM","R_3oLBldwr1R95xf0","User 1","Given	   the	   choice	    of	   anyone	   in	   the	   world,	   whom	   would	   you	   want	   as	   a	   dinne"
"group 4","2/11/2016 9:44:44 PM","R_3oLBldwr1R95xf0","User 1","r guest?"
"group 4","2/11/2016 9:45:17 PM","R_3oLBldwr1R95xf0","User 1","GIven the choice of anyone n the world, whom would you want as a dinner guest?"
"group 4","2/11/2016 9:46:14 PM","R_2Qm03NFsq6GEBzt","User 2","I would love to meet Roger Federer!"
"group 4","2/11/2016 9:47:20 PM","R_3oLBldwr1R95xf0","User 1","great, I would love to meet a time-traveller."
"group 4","2/11/2016 9:47:34 PM","R_2Qm03NFsq6GEBzt","User 2","Nice! What would constitute a ""perfect day"" for you?"
"group 4","2/11/2016 9:47:35 PM","R_3oLBldwr1R95xf0","User 1","What  would  constitute  a  ""perfect""  day  for"
"group 4","2/11/2016 9:47:41 PM","R_3oLBldwr1R95xf0","User 1","you?"
"group 4","2/11/2016 9:48:00 PM","R_2Qm03NFsq6GEBzt","User 2","Spending time with family and friends :)"
"group 4","2/11/2016 9:48:32 PM","R_2Qm03NFsq6GEBzt","User 2","What about you?"
"group 4","2/11/2016 9:48:51 PM","R_3oLBldwr1R95xf0","User 1","Mine would be to eat a really great breakfast with a lover, hike up a volcano in a warm beautiful climate, eat sushi, and a french pastry."
"group 4","2/11/2016 9:49:05 PM","R_3oLBldwr1R95xf0","User 1","f	   you	   were	   able	   to	   live	   to	   the	   age	   of	   90	   and	   retain	   either	   the	   mind	   or	   body	   of	   a	   30 -­‐ year -­‐ old	    for	   the	   last	   60	   years	   of	   your	   life,	   which	   would	   you	    want?"
"group 4","2/11/2016 9:49:50 PM","R_2Qm03NFsq6GEBzt","User 2","I would like to maintain the mind of a 30 year old."
"group 4","2/11/2016 9:49:52 PM","R_3oLBldwr1R95xf0","User 1","I'd want the mind ofthe 30 year old."
"group 4","2/11/2016 9:50:00 PM","R_2Qm03NFsq6GEBzt","User 2","Nice! same thing"
"group 4","2/11/2016 9:50:12 PM","R_3oLBldwr1R95xf0","User 1","If  you  could  change  anything  about  the  way  you  were  raised,  what  wo"
"group 4","2/11/2016 9:50:19 PM","R_3oLBldwr1R95xf0","User 1","would it be?"
"group 4","2/11/2016 9:50:29 PM","R_3oLBldwr1R95xf0","User 1","Are you a computer?"
"group 4","2/11/2016 9:50:47 PM","R_2Qm03NFsq6GEBzt","User 2","I would have loved to be on little leagues and played more sports!"
"group 4","2/11/2016 9:51:07 PM","R_2Qm03NFsq6GEBzt","User 2","Nope! not a computer!"
"group 4","2/11/2016 9:51:51 PM","R_2Qm03NFsq6GEBzt","User 2","What is your most treasured memory?"
"group 4","2/11/2016 9:52:10 PM","R_3oLBldwr1R95xf0","User 1","Interesting. I would have wanted to eat healthier food and have been taught them from a young age. I would have wanted to go outside more with my family and not be stressed out as much as i would. I would have wanted to be better at math and learn good work ethic but I appreciate who I am today becuase of what my childhood was like."
"group 4","2/11/2016 9:52:48 PM","R_3oLBldwr1R95xf0","User 1","What  is  your  most  treasured"
"group 4","2/11/2016 9:52:51 PM","R_3oLBldwr1R95xf0","User 1","memory?"
"group 4","2/11/2016 9:53:16 PM","R_3oLBldwr1R95xf0","User 1","How do I know you're not a computer?"
"group 4","2/11/2016 9:53:26 PM","R_3oLBldwr1R95xf0","User 1"," :flushed:"
"group 4","2/11/2016 9:53:26 PM","R_2Qm03NFsq6GEBzt","User 2","My most treasured memory would be seeing my baby cousin for the first time :)"
"group 4","2/11/2016 9:53:46 PM","R_3oLBldwr1R95xf0","User 1","Cool. Mine is a good day with my ex boyfriend."
"group 4","2/11/2016 9:53:56 PM","R_3oLBldwr1R95xf0","User 1","If	   you	   knew	   that	   in	   one	   year	   you	   would	   die	   suddenly,	   would	   you	   change	   anything	   about	   the	    way	   you	   are now	   living?	   Why"
"group 4","2/11/2016 9:54:36 PM","R_3oLBldwr1R95xf0","User 1","I would just start travelling the world nonstop and take my sister with me."
"group 4","2/11/2016 9:54:55 PM","R_3oLBldwr1R95xf0","User 1","I'm just going to answer all the questions real quick since we're runnign out of time"
"group 4","2/11/2016 9:55:07 PM","R_3oLBldwr1R95xf0","User 1","10. relationship with my mom is very solid. i am her favorite child"
"group 4","2/11/2016 9:55:10 PM","R_2Qm03NFsq6GEBzt","User 2","I would live life to the fullest and make sure that my time is not spent worrying about the small things.  I would want to do things that changes people's lives for the better"
"group 4","2/11/2016 9:55:22 PM","R_2Qm03NFsq6GEBzt","User 2","oh okay then"
"group 4","2/11/2016 9:55:28 PM","R_2Qm03NFsq6GEBzt","User 2","do you want me to answer them too?"
"group 4","2/11/2016 9:55:46 PM","R_3oLBldwr1R95xf0","User 1","11. emberassing moment: right now, I feel pretty emberassed cus not sure if you're a person"
"group 4","2/11/2016 9:55:49 PM","R_3oLBldwr1R95xf0","User 1","yes, answer them too"
"group 4","2/11/2016 9:55:51 PM","R_3oLBldwr1R95xf0","User 1","we have 5 minutes lol"
"group 4","2/11/2016 9:56:03 PM","R_2Qm03NFsq6GEBzt","User 2","haha okay okay :laughing:"
"group 4","2/11/2016 9:56:05 PM","R_3oLBldwr1R95xf0","User 1","12. I cried in front of my sisters really hard after I had a breakup"
"group 4","2/11/2016 9:56:24 PM","R_2Qm03NFsq6GEBzt","User 2","I cried while watching the Blind Side"
"group 4","2/11/2016 9:56:26 PM","R_3oLBldwr1R95xf0","User 1","13. I regret not telling this one person that I loved them a lot. (im a hopeless romantic)"
"group 4","2/11/2016 9:56:56 PM","R_2Qm03NFsq6GEBzt","User 2","I would regret not telling them that I love them as well"
"group 4","2/11/2016 9:56:57 PM","R_3oLBldwr1R95xf0","User 1","14. I'd save my journal because it's a big memory"
