Group,Time,Id,User,Message
group 1,2/10/2016 6:11,,System,>> User 1 has Connected
group 1,2/10/2016 6:13,,System,>> User 1 has Disconnected
group 2,2/10/2016 6:11,,System,>> User 1 has Connected
group 2,2/10/2016 6:13,,System,>> User 1 has Disconnected
group 3,2/10/2016 6:22,,System,>> User 1 has Connected
group 3,2/10/2016 6:23,,System,>> User 1 has Disconnected
group 4,2/10/2016 6:22,,System,>> User 1 has Connected
group 4,2/10/2016 6:23,,System,>> User 1 has Disconnected
group 5,2/11/2016 21:43,,System,>> User 1 has Connected
group 5,2/11/2016 21:43,,System,>> All chat participants have arrived. You may now chat!
group 5,2/11/2016 21:43,,System,>> User 2 has Connected
group 5,2/11/2016 21:44,R_2yr6DuqicpnmWA3,User 1,When was the last time you walked for more than an hour? Describe where you went and what you saw.
group 5,2/11/2016 21:45,R_28HYDSNn2xA6rE5,User 2,i was taking a casual walk in a park. i saw kids playing and people gathering for games and sightseeing
group 5,2/11/2016 21:46,R_28HYDSNn2xA6rE5,User 2,When was the last time you walked for more than an hour? Describe where you went and what you saw.
group 5,2/11/2016 21:46,R_2yr6DuqicpnmWA3,User 1,I was taking a hike. I saw other hikers and a variety of different creatures and trees.
group 5,2/11/2016 21:47,R_2yr6DuqicpnmWA3,User 1,How did you celebrate last Halloween?
group 5,2/11/2016 21:47,R_28HYDSNn2xA6rE5,User 2,i stayed at home and handed canides to people who came by
group 5,2/11/2016 21:47,R_28HYDSNn2xA6rE5,User 2,How did you celebrate last Halloween?
group 5,2/11/2016 21:47,R_2yr6DuqicpnmWA3,User 1,I went out to parties that my friends hosted.
group 5,2/11/2016 21:48,R_2yr6DuqicpnmWA3,User 1,"If you could invent a new flavor of ice cream, what would it be?"
group 5,2/11/2016 21:48,R_28HYDSNn2xA6rE5,User 2,i would invent strawberry mango flavour ice cream
group 5,2/11/2016 21:48,R_28HYDSNn2xA6rE5,User 2,"If you could invent a new flavor of ice cream, what would it be?"
group 5,2/11/2016 21:48,R_2yr6DuqicpnmWA3,User 1,I would invent a peanut butter and jelly flavored ice cream.
group 5,2/11/2016 21:49,R_2yr6DuqicpnmWA3,User 1,What was the best gift you ever received and why?
group 5,2/11/2016 21:49,R_28HYDSNn2xA6rE5,User 2,the best gift was a bike because i always wanted one
group 5,2/11/2016 21:49,R_28HYDSNn2xA6rE5,User 2,What was the best gift you ever received and why?
group 5,2/11/2016 21:49,R_2yr6DuqicpnmWA3,User 1,The best gift was a pair of fuzzy socks
group 5,2/11/2016 21:50,R_2yr6DuqicpnmWA3,User 1,What gifts did you receive on your last birthday?
group 5,2/11/2016 21:50,R_28HYDSNn2xA6rE5,User 2,i received a fitbit for my last birthday
group 5,2/11/2016 21:50,R_28HYDSNn2xA6rE5,User 2,What gifts did you receive on your last birthday?
group 5,2/11/2016 21:50,R_2yr6DuqicpnmWA3,User 1,I received a new laptop
group 5,2/11/2016 21:50,R_2yr6DuqicpnmWA3,User 1,Describe the last time you went to the zoo
group 5,2/11/2016 21:50,R_28HYDSNn2xA6rE5,User 2,"the last time i went to the zoo was more than 10 years ago, when i was still a kid. i don't remember much besides seeing many animals"
group 5,2/11/2016 21:51,R_28HYDSNn2xA6rE5,User 2,Describe the last time you went to the zoo
group 5,2/11/2016 21:51,R_2yr6DuqicpnmWA3,User 1,It was a sunny day at the zoo with my father. We mainly visited the primates section of the zoo.
group 5,2/11/2016 21:51,R_2yr6DuqicpnmWA3,User 1,Do you like to get up early or stay up late? Is there anything funny that has resulted from this?
group 5,2/11/2016 21:51,R_28HYDSNn2xA6rE5,User 2,i am always a night person so i stay up very late at night. i was once scared by the sound of wind
group 5,2/11/2016 21:52,R_28HYDSNn2xA6rE5,User 2,Do you like to get up early or stay up late? Is there anything funny that has resulted from this?
group 5,2/11/2016 21:52,R_2yr6DuqicpnmWA3,User 1,I like to stay up late. Nothing funny has resulted from this.
group 5,2/11/2016 21:52,R_2yr6DuqicpnmWA3,User 1,What did you do last summer?
