Group,Time,Id,User,Message
"group 1","2/10/2016 6:11:06 AM","","System",">> User 1 has Connected"
"group 1","2/10/2016 6:13:18 AM","","System",">> User 1 has Disconnected"
"group 2","2/10/2016 6:11:06 AM","","System",">> User 1 has Connected"
"group 2","2/10/2016 6:13:19 AM","","System",">> User 1 has Disconnected"
"group 3","2/10/2016 6:22:46 AM","","System",">> User 1 has Connected"
"group 3","2/10/2016 6:23:04 AM","","System",">> User 1 has Disconnected"
"group 4","2/10/2016 6:22:46 AM","","System",">> User 1 has Connected"
"group 4","2/10/2016 6:23:05 AM","","System",">> User 1 has Disconnected"
"group 5","2/11/2016 9:43:12 PM","","System",">> User 1 has Connected"
"group 5","2/11/2016 9:43:27 PM","","System",">> All chat participants have arrived. You may now chat!"
"group 5","2/11/2016 9:43:27 PM","","System",">> User 2 has Connected"
"group 5","2/11/2016 9:44:34 PM","R_2yr6DuqicpnmWA3","User 1","When was the last time you walked for more than an hour? Describe where you went and what you saw."
"group 5","2/11/2016 9:45:45 PM","R_28HYDSNn2xA6rE5","User 2","i was taking a casual walk in a park. i saw kids playing and people gathering for games and sightseeing"
"group 5","2/11/2016 9:46:14 PM","R_28HYDSNn2xA6rE5","User 2","When was the last time you walked for more than an hour? Describe where you went and what you saw."
"group 5","2/11/2016 9:46:57 PM","R_2yr6DuqicpnmWA3","User 1","I was taking a hike. I saw other hikers and a variety of different creatures and trees."
"group 5","2/11/2016 9:47:10 PM","R_2yr6DuqicpnmWA3","User 1","How did you celebrate last Halloween?"
"group 5","2/11/2016 9:47:27 PM","R_28HYDSNn2xA6rE5","User 2","i stayed at home and handed canides to people who came by"
"group 5","2/11/2016 9:47:36 PM","R_28HYDSNn2xA6rE5","User 2","How did you celebrate last Halloween?"
"group 5","2/11/2016 9:47:49 PM","R_2yr6DuqicpnmWA3","User 1","I went out to parties that my friends hosted."
"group 5","2/11/2016 9:48:05 PM","R_2yr6DuqicpnmWA3","User 1","If you could invent a new flavor of ice cream, what would it be?"
"group 5","2/11/2016 9:48:45 PM","R_28HYDSNn2xA6rE5","User 2","i would invent strawberry mango flavour ice cream"
"group 5","2/11/2016 9:48:52 PM","R_28HYDSNn2xA6rE5","User 2","If you could invent a new flavor of ice cream, what would it be?"
"group 5","2/11/2016 9:48:55 PM","R_2yr6DuqicpnmWA3","User 1","I would invent a peanut butter and jelly flavored ice cream."
"group 5","2/11/2016 9:49:15 PM","R_2yr6DuqicpnmWA3","User 1","What was the best gift you ever received and why?"
"group 5","2/11/2016 9:49:34 PM","R_28HYDSNn2xA6rE5","User 2","the best gift was a bike because i always wanted one"
"group 5","2/11/2016 9:49:40 PM","R_28HYDSNn2xA6rE5","User 2","What was the best gift you ever received and why?"
"group 5","2/11/2016 9:49:55 PM","R_2yr6DuqicpnmWA3","User 1","The best gift was a pair of fuzzy socks"
"group 5","2/11/2016 9:50:09 PM","R_2yr6DuqicpnmWA3","User 1","What gifts did you receive on your last birthday?"
"group 5","2/11/2016 9:50:10 PM","R_28HYDSNn2xA6rE5","User 2","i received a fitbit for my last birthday"
"group 5","2/11/2016 9:50:16 PM","R_28HYDSNn2xA6rE5","User 2","What gifts did you receive on your last birthday?"
"group 5","2/11/2016 9:50:20 PM","R_2yr6DuqicpnmWA3","User 1","I received a new laptop"
"group 5","2/11/2016 9:50:30 PM","R_2yr6DuqicpnmWA3","User 1","Describe the last time you went to the zoo"
"group 5","2/11/2016 9:50:57 PM","R_28HYDSNn2xA6rE5","User 2","the last time i went to the zoo was more than 10 years ago, when i was still a kid. i don't remember much besides seeing many animals"
"group 5","2/11/2016 9:51:02 PM","R_28HYDSNn2xA6rE5","User 2","Describe the last time you went to the zoo"
"group 5","2/11/2016 9:51:04 PM","R_2yr6DuqicpnmWA3","User 1","It was a sunny day at the zoo with my father. We mainly visited the primates section of the zoo."
"group 5","2/11/2016 9:51:26 PM","R_2yr6DuqicpnmWA3","User 1","Do you like to get up early or stay up late? Is there anything funny that has resulted from this?"
"group 5","2/11/2016 9:51:56 PM","R_28HYDSNn2xA6rE5","User 2","i am always a night person so i stay up very late at night. i was once scared by the sound of wind"
"group 5","2/11/2016 9:52:04 PM","R_28HYDSNn2xA6rE5","User 2","Do you like to get up early or stay up late? Is there anything funny that has resulted from this?"
"group 5","2/11/2016 9:52:07 PM","R_2yr6DuqicpnmWA3","User 1","I like to stay up late. Nothing funny has resulted from this."
"group 5","2/11/2016 9:52:11 PM","R_2yr6DuqicpnmWA3","User 1","What did you do last summer?"
"group 5","2/11/2016 9:52:23 PM","R_28HYDSNn2xA6rE5","User 2","i did an internship for an accounitng firm"
"group 5","2/11/2016 9:52:26 PM","R_28HYDSNn2xA6rE5","User 2","What did you do last summer?"
"group 5","2/11/2016 9:52:34 PM","R_2yr6DuqicpnmWA3","User 1","Last summer I relaxed, hung out with my friends, caught up on some reading, and took a trip to LA."
"group 5","2/11/2016 9:53:05 PM","R_2yr6DuqicpnmWA3","User 1","Who is your favorite actor of your own gender? Describe a favorite scene in which this person has acted."
"group 5","2/11/2016 9:53:16 PM","R_28HYDSNn2xA6rE5","User 2","i don't watch a lot of movies, so i can't think of a scene..."
"group 5","2/11/2016 9:53:24 PM","R_28HYDSNn2xA6rE5","User 2","Who is your favorite actor of your own gender? Describe a favorite scene in which this person has acted."
"group 5","2/11/2016 9:54:06 PM","R_2yr6DuqicpnmWA3","User 1","My favorite actor is Deepika Padukone. My favorite scene is from one of her earliest movies, where she pretends to come back from the dead to scare the man that killed her."
"group 5","2/11/2016 9:54:21 PM","R_2yr6DuqicpnmWA3","User 1","What is your favorite holiday? Why?"
"group 5","2/11/2016 9:54:28 PM","R_28HYDSNn2xA6rE5","User 2","my favorite holiday is Christmas because i get to sleep in and have a big dinner with my family"
"group 5","2/11/2016 9:54:35 PM","R_28HYDSNn2xA6rE5","User 2","What is your favorite holiday? Why?"
"group 5","2/11/2016 9:54:43 PM","R_2yr6DuqicpnmWA3","User 1","My favorite holiday is Thanksgiving because I love eating"
"group 5","2/11/2016 9:55:08 PM","R_2yr6DuqicpnmWA3","User 1","What foriegn country would you most like to visit? What attracts you to this place?"
"group 5","2/11/2016 9:55:19 PM","R_28HYDSNn2xA6rE5","User 2","i always wanted to visit Switzerland because of the beautiful scenery"
