"","Group","User1","User2","Q1","A1a","A1b","Q2","A2a","A2b","Q3","A3a","A3b","Q4","A4a","A4b","Q5","A5a","A5b","Q6","A6a","A6b","Q7","A7a","A7b","Q8","A8a","A8b","Q9","A9a","A9b","Q10","A10a","A10b","Q11","A11a","A11b","Q12","A12a","A12b","Q13","A13a","A13b","Q14","A14a","A14b","Q15","A15a","A15b"
"1",171,"R_1mdScmWBXjJARNO","R_eDREsvRMqVyYIZX","Given the choice of anyone in the world, whom would you want as a dinner guest?","","","What would constitute a perfect day for you? ","","","If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old 
for the last 60 years of your life, which would you want? ","","","If you could change anything about the way you were raised, what would it be?","","","If you could wake up tomorrow having gained any one quality or ability, what would it be?","","","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, 
what would you want to know?","","","What is the greatest accomplishment of your life?","","","What is your most treasured memory?","","","If you knew that in one year you would die suddenly, would you change anything about the 
way you are now living? Why?","","","How do you feel about your relationship with your mother?","","","Share with your partner an embarrassing moment in your life","","","When did you last cry in front of another person? By yourself?","","","If you were to die this evening with no opportunity to communicate with anyone, what 
would you most regret not having told someone? Why haven't you told them yet?","","","Your house, containing everything you own, catches fire. After saving your loved ones and 
pets, you have time to safely make a final dash to save any one item. What would it be? 
Why?","","","Of all the people in your family, whose death would you find most disturbing? Why?","",""
"2",173,"R_3CHocVCCNytHAdd","R_24HMRCFwOtIo6aF","Given the choice of anyone in the world, whom would you want as a dinner guest?","","","What would constitute a perfect day for you? ","Not having anything tiring or stressful on my mindA day with no immediate obligations What about you? ","","If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old 
for the last 60 years of your life, which would you want? ","","","If you could change anything about the way you were raised, what would it be?","Staying longer in the US before I moved to a foreign country as a young childHow about you? ","","If you could wake up tomorrow having gained any one quality or ability, what would it be?","","","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, 
what would you want to know?","How would my life play out-like jobs,people,etc","","What is the greatest accomplishment of your life?","Winning an international debate tournament in high school? hahaHow about you? ","","What is your most treasured memory?","Spending time with my grandfather !You? ","","If you knew that in one year you would die suddenly, would you change anything about the 
way you are now living? Why?","Maybe President Obama lolHow about you? ","I would probably drop out of school and start doing things I like to do such as traveling to different places in the world. Pretty sad to stay in school until I die hahaWhat about u? ","How do you feel about your relationship with your mother?","Pretty solid because we are close and talk about a lot of things in my lifeWhat about you/ ?* ","","Share with your partner an embarrassing moment in your life","","","When did you last cry in front of another person? By yourself?","","","If you were to die this evening with no opportunity to communicate with anyone, what 
would you most regret not having told someone? Why haven't you told them yet?","","","Your house, containing everything you own, catches fire. After saving your loved ones and 
pets, you have time to safely make a final dash to save any one item. What would it be? 
Why?","","","Of all the people in your family, whose death would you find most disturbing? Why?","",""
"3",172,"R_3rUvHakRUyc5GOY","R_3fiwOpb0VS6uaxk","Given the choice of anyone in the world, whom would you want as a dinner guest?","I would say Nelson Mandela. I think it would be cool to get a sense of him as a person and his mental stregnth and resilance.You? ","","What would constitute a perfect day for you? ","I think spending it with my girlfriend either out in the city or at home. Honestly, my happiness is wherever she is :)What about yourself? ","","If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old 
for the last 60 years of your life, which would you want? ","I would prefer the body. I think you can do a lot more if you have a healthy body, especially at the age of 90 when you're body tends to be much less healthy.What about you? ","","If you could change anything about the way you were raised, what would it be?","I wish my parents gave me more freedom. I definitely think that their strictness has rubbed off on me and therefore is unhealthy in my relationhip. I try not to be controlling / concerned all the time but that is just the way I was raised :confused:How about you? ","","If you could wake up tomorrow having gained any one quality or ability, what would it be?","Iwould probably want the ability to see the future. That way, if I don't like it, I can change what I'm doing today!how about yourself? ","","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, 
what would you want to know?","I would want to know how to fix my relationship with my girlfriend. We are currently taking a break and its eating me alive not being able to do anything. What about yourself?","","What is the greatest accomplishment of your life?","Probably winning the state championship with my club team in high school. I played with the team since I was in 2nd grade, and we'd lost many times. It was a great feeling when we finally won state and went onto regionals in my junior year of high school.how about you? ","","What is your most treasured memory?","I think my most treasured memory is being at Disneyland with my girlfriend, under the lights of Mainstreet and looking up into the sky and seeing the beautiful fireworksEverything was so calm and peaceful in the midsts of all the chaos at Disneyland And you? ","Sounds awesome. Mine is when I took a cruise to alaska with some of my extended family including all my cousins. There were around 40 of us in total. By the end of the trip, we all became much closer and it was a great trip overallIf    you    knew    that    in    one    year    you    would    die    suddenly,    would    you    change    anything    about    the     way    you    are now    living?    Why? sorry, i think you were supposed to ask that one i can answer first this time ","If you knew that in one year you would die suddenly, would you change anything about the 
way you are now living? Why?","Hi","No I wouldn't.nah its fine lol ","How do you feel about your relationship with your mother?","","","Share with your partner an embarrassing moment in your life","So I once ripped my pants during orchestra practice. So I called my parents to bring me a new pairWhen my dad came in He announced to the class Im here to drop off my son's pants because they ripped!  :flushed: :flushed: :grin: ","","When did you last cry in front of another person? By yourself?","in front of others, probably in middle school in front of my parents. By myself, I cannot remember the last time I cried.You? ","","If you were to die this evening with no opportunity to communicate with anyone, what 
would you most regret not having told someone? Why haven't you told them yet?","I would tell my girlfriend that I care about her. Its not that I haven't told her yet but it is often undersaid.What about yourself? ","","Your house, containing everything you own, catches fire. After saving your loved ones and 
pets, you have time to safely make a final dash to save any one item. What would it be? 
Why?","","","Of all the people in your family, whose death would you find most disturbing? Why?","I would find my brothers the most disturbing. Just because he's younger than me. I think it would disturb me a lotyou? ",""
"4",174,"R_1je4oTxY8xUueGk","R_24JmmCTwxFakbla","Given the choice of anyone in the world, whom would you want as a dinner guest?","Barack Obamahow about you ","","What would constitute a perfect day for you? ","Sleep in, play some video games, play basketball in the afternoon, go on a date with my gf at nightyou? ","","If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old 
for the last 60 years of your life, which would you want? ","I would want the body because if i could stay physically fit that would help my mind as welland yourself? ","","If you could change anything about the way you were raised, what would it be?","i would ask to be less spoiledyou? ","","If you could wake up tomorrow having gained any one quality or ability, what would it be?","time travel or being able to go anywhere in the world at any moment","","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, 
what would you want to know?","what the names of my kids will beyou? ","","What is the greatest accomplishment of your life?","winning a world championshipyou ","","What is your most treasured memory?","my great grandfathers funeralyou ","","If you knew that in one year you would die suddenly, would you change anything about the 
way you are now living? Why?","Me tooWhat would constitute a ""perfect"" day for you? ","i would drop out of school and do more immediately productive things with my lifehbu ","How do you feel about your relationship with your mother?","great, she is the most amazing woman i have ever methbu ","","Share with your partner an embarrassing moment in your life","nothing seriously embarassing, but probably forgetting a poetry line at a reading","","When did you last cry in front of another person? By yourself?","in front of my gflike 6months ago you? ","","If you were to die this evening with no opportunity to communicate with anyone, what 
would you most regret not having told someone? Why haven't you told them yet?","i dont keep much bottled up so i wouldnt have any regretsid just tell my loved ones i love them again ","","Your house, containing everything you own, catches fire. After saving your loved ones and 
pets, you have time to safely make a final dash to save any one item. What would it be? 
Why?","a necklace that my grandfather gave me that hangs above my bedbecause its been handed down in my family for generations ","","Of all the people in your family, whose death would you find most disturbing? Why?","id rather not answer that question",""
"5",175,"R_wYQDoxy9ntdJqN3","R_Dda8jq9vNoITkSB","Given the choice of anyone in the world, whom would you want as a dinner guest?","Sheryl SandbergGiven    the    choice     of    anyone    in    the    world,    whom    would    you    want    as    a    dinner    guest? ","Hahaha awesome, I would probably have to choose donald trumpwhat would consitute a perfect day for you? ","What would constitute a perfect day for you? ","As long as nothing tragic happens, everyday is mostly a perfect day for meIf    you    were    able    to    live    to    the    age    of    90    and    retain    either    the    mind    or    body    of    a    30 -Â­â year -Â­â old     for    the    last    60    years    of    your    life,    which    would    you     want? ","","If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old 
for the last 60 years of your life, which would you want? ","mindIf    you    were    able    to    live    to    the    age    of    90    and    retain    either    the    mind    or    body    of    a    30 -Â­â year -Â­â old     for    the    last    60    years    of    your    life,    which    would    you     want? ","bodyIf you could change anything about the way you were raised, what would it be? ","If you could change anything about the way you were raised, what would it be?","I would take part in more thingsIf you could change anything about the way you were raised, what would it be? ","i would have learned another languageIf you could wake up tomorrow having gained anyone quality or ability, what would it be? ","If you could wake up tomorrow having gained any one quality or ability, what would it be?","ability to breeze through classesIf you could wake up tomorrow having gained any one quality or ability, what would it be? ","the art of persuasionIf    a    crystal    ball    could    tell    you    the    truth    about    yourself,    your    life,    the    fu ture,    or    anything    else,     what    would    you    want    to    know? ","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, 
what would you want to know?","what my career will bef    a    crystal    ball    could    tell    you    the    truth    about    yourself,    your    life,    the    fu ture,    or    anything    else,     what    would    you    want    to    know? I f a crystal ball could tell you the truth about yourself, your life, the fu ture, or anything else, what would you want to know? ","??I think were on the next question ","What is the greatest accomplishment of your life?","my greast accomplishment is finding a bone marrow transplant match for my friendIf    you    knew    that    in    one    year    you    would    die    suddenly,    would    you    change    anything    about    the     way    you    are now    living?    Why? ","","What is your most treasured memory?","Whoops, my most treasured memory was seeing my mother fight and beat breast cancerWhat is your most treasured memory? ","also getting a job after graduationIf you    knew    that    in    one    year    you    would    die    suddenly,    would    you    change    anything    about    the     way    you    are now    living?    Why? ","If you knew that in one year you would die suddenly, would you change anything about the 
way you are now living? Why?","Hanging out with friends and going rock climbingWhat would constitute a ""perfect"" day for you? ","I would drop everything and travel the world with my familyHow do you feel about your relationship with your mother? ","How do you feel about your relationship with your mother?","I love her. She's adorable and always there for meHow do you feel about your relationship with your mother? ","Same. Shes the closest thing i know to a perfect human being.Share with your partner an embarrassing moment in your life. ","Share with your partner an embarrassing moment in your life","when i tripped and fell in the rainShare with your partner an embarrassing moment in your life. ","When i forgot my pitch during a presentationWhen did you last cry in front of another person? By yourself? ","When did you last cry in front of another person? By yourself?","Sometime in the last week.When did you last cry in front of another person? By yourself? ","Over winter breakIf    you    were    to    die    this    e vening    with    no    opportunity    to    communicate    with    anyone,    what     would    you    most    regret    not    having    told    someone?    Why    haven't    you    told    them    yet? ","If you were to die this evening with no opportunity to communicate with anyone, what 
would you most regret not having told someone? Why haven't you told them yet?","I would tell my parents I love them. We just don't say itIf you were to die this e vening with no opportunity to communicate with anyone, what would you most regret not having told someone? Why haven't you told them yet? ","I would tell someone that i love them. Its complicated hahaYour    house,    containing    everything    you    own,    catches    fire.    After    saving    your    loved    ones    and     pets,    you    have    time    to     safely    make    a    final    dash    to    save    any    one    item.    What    would    it    be?     Why? ","Your house, containing everything you own, catches fire. After saving your loved ones and 
pets, you have time to safely make a final dash to save any one item. What would it be? 
Why?","My computer. It has my life on itYour    house,    containing    everything    you    own,    catches    fire.    After    saving    your    loved    ones    and     pets,    you    have    time    to     safely    make    a    final    dash    to    save    any    one    item.    What    would    it    be?     Why? ","A shoebox that i keep with notes, pictures, and totems of my pastOf    all    the    people    in    your    family, whose    death    would    you    find    most    disturbing?    Why? ","Of all the people in your family, whose death would you find most disturbing? Why?","My sister. Because she's my everythingOf    all    the    people    in    your    family, whose    death    would    you    find    most    disturbing?    Why? ","My mother because she keeps my faith in this world"
"6",176,"R_3KI0xFqYlHIW6hs","R_2fizehY6s390GQB","Given the choice of anyone in the world, whom would you want as a dinner guest?","Taylor Swift","","What would constitute a perfect day for you? ","Having nothing to worry or stress about and being somewhere near the ocean or beach.","","If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old 
for the last 60 years of your life, which would you want? ","Body","","If you could change anything about the way you were raised, what would it be?","Having my parents be home more instead of at work mostly.","","If you could wake up tomorrow having gained any one quality or ability, what would it be?","The ability to not worry","","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, 
what would you want to know?","I want to know if everything will work out okay in terms of career, family, etc.","","What is the greatest accomplishment of your life?","Getting into college","","What is your most treasured memory?","Spending time with my parents when I was a kid","","If you knew that in one year you would die suddenly, would you change anything about the 
way you are now living? Why?","Kanye WestWhat would constitute a ""perfect"" day for you? Hiking, playing basketball, good dinner ","Yes. I would take more risks and finish my bucket list","How do you feel about your relationship with your mother?","I love her a lot and I wish we were closer","","Share with your partner an embarrassing moment in your life","One time in high school, I asked a teacher if he had a condom instead of condo/condomium (for a project) because I coudn't decide what word I wanted to use.","","When did you last cry in front of another person? By yourself?","Infront of another person was my boyfriend. Myself was a few nights ago from a movie.","","If you were to die this evening with no opportunity to communicate with anyone, what 
would you most regret not having told someone? Why haven't you told them yet?","Telling my parents I love them. I havent told them yet because we don't really talk about those things. We mostly just show our feelings through actions","","Your house, containing everything you own, catches fire. After saving your loved ones and 
pets, you have time to safely make a final dash to save any one item. What would it be? 
Why?","Nothing really.","","Of all the people in your family, whose death would you find most disturbing? Why?","Either one of my parents",""
"7",177,"R_3oNNz5G4A9IBlGh","R_2zqXUgkrwaMtBaR","Given the choice of anyone in the world, whom would you want as a dinner guest?","Malcolm GladwellGiven the choice of anyone in the world, whom would you want as a dinner guest? ","Michael JordanWhat would constitute a ""perfect"" day for you? ","What would constitute a perfect day for you? ","Just spending time with loved ones and nice weather.What would constitute a ""perfect"" day for you? ","Spending time with loved ones after playing basketball in the sun. With good food.If    you    were    able    to    live    to    the    age    of    90    and    retain    either    the    mind    or    body    of    a    30 -Â­â year -Â­â old     for    the    last    60    years    of    your    life,    which    would    you     want? ","If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old 
for the last 60 years of your life, which would you want? ","The mind of a 30 year oldIf you were able to live to the age of 90 and retain either the mind or body of a 30-year -old for the last 60 years of your life, which would you want? ","Body of a 30 year oldIf you could change anything about the way you were raised, what would it be? ","If you could change anything about the way you were raised, what would it be?","I wish I could have taken on more hobbies.If you could change anything about the way you were raised, what would it be? ","I wish I could have not just focused on one sport.If you could wake up tomorrow having gained any one quality or ability, what would it be? ","If you could wake up tomorrow having gained any one quality or ability, what would it be?","The ability to stop time hahaIf you could wake up tomorrow having gained any one quality or ability, what would it be? ","The ability to teleportIf    a    crystal    ball    could    tell    you    the    truth    about    yourself,    your    life,    the    fu ture,    or    anything    else,     what    would    you    want    to    know ","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, 
what would you want to know?","If I'll be happy in the futureIf a crystal ball could tell you the truth about yourself, your life, the future, or anything else, what would you want to know? ","If I'll have a good future (job, marriage, family, relationships, etc)What is the greatest accomplishment of your life? ","What is the greatest accomplishment of your life?","That I can take care of myself independentlyWhat is the greatest accomplishment of your life? ","Getting into CalWhat is your most treasured memory? ","What is your most treasured memory?","Studying abroadWhat is your most treasured memory? ","Going to New York during the holiday seasonIf    you    knew    that    in    one    year    you    would    die    suddenly,    would    you    change    anything    about    the     way    you    are now    living?    Why? ","If you knew that in one year you would die suddenly, would you change anything about the 
way you are now living? Why?","I would drop out of school and travel more. I am currently doing things that will help me for the future but if in one year, I will not be alive, life is too shortIf you knew that in one year you would die suddenly, would you chagne anything about the way you are now living? Why? ","","How do you feel about your relationship with your mother?","I wish we were more open about certain things but I love her. She's great.How do you feel about your relationship with your mother? ","I really like my relationship with my mother. We're pretty close but I wish I was more comfortable talking to her more about things that go on in my life.Share with your partner an embarrassing moment in your life/ ","Share with your partner an embarrassing moment in your life","Hmm, I can't think of a super embarassing story but one time, I got into a stranger's car because I thought it was my mom's.Share with your partner an embarassing moment in your life. ","","When did you last cry in front of another person? By yourself?","The last time I cried was yesterday. I was frustrated with something that was going on. But the last time I cried with someone else was a couple months ago... I can't remember.When did you last cry in front of another person? By yourself? ","With someone else: Saturday night. By myself: this time last year.If    you    were    to    die    this    e vening    with    no    opportunity    to    communicate    with    anyone,    what     would    you    most    regret    not    having    told    someone?    Why    haven't    you    told    them    yet? ","If you were to die this evening with no opportunity to communicate with anyone, what 
would you most regret not having told someone? Why haven't you told them yet?","I would regret not talking out some problems with certain people that I harbor resentment towards. I haven't talked to them yet because I don't like confrontation.If you were to die this evening with no opportunity to communicate with anyone, what would you most regret not having told someone? Why haven't you told them yet? ","I regret not telling my dad I really appreciate and love him. Growing up with him in the military I gained this perception that it was awkward to show feelings towards him.Your    house,    containing    everything    you    own,    catches    fire.    After    saving    your    loved    ones    and     pets,    you    have    time    to     safely    make    a    final    dash    to    save    any    one    item.    What    would    it    be?     Why? ","Your house, containing everything you own, catches fire. After saving your loved ones and 
pets, you have time to safely make a final dash to save any one item. What would it be? 
Why?","I have a box I keep filled with cards and pictures that I would grab. I treasure memories.Your house, containing everything you own, catches fire. After saving your loved ones and pets, you have time to safely make a final dash to save any one item. What would it be? Why? ","Probably a box where I keep all my lettersOf    all    the    people    in    your    family, whose    death    would    you    find    most    disturbing?    Why? ","Of all the people in your family, whose death would you find most disturbing? Why?","My brother's because he's the youngest and is too young to die.Of all the people in your family, whose death would you find most disturbing? Why? ","My mom because without her I'd probably die too."
"8",178,"R_1OjWx8QtQgjZcuw","R_3QPs9X8A4H4LIHs","Given the choice of anyone in the world, whom would you want as a dinner guest?","Hi, at the moment I would like my boyfriend as my dinner guest.1. Given    the    choice     of    anyone    in    the    world,    whom    would    you    want    as    a    dinner    guest? ","I think I'd ask my best friend from back home to be my dinner guest. She goes to school in New York and I havent seen her in a while!What    would    constitute    a    ""perfect""    day    for    you? ","What would constitute a perfect day for you? ","A perfect day would be a nice day spent with family and loved ones and having a good time..2. What    would    constitute    a    ""perfect""    day    for    you? ","A perfect day would be working out in the morning and grabbing brunch / exploring a new city with my family afterwardsIf  you    were    able    to    live    to    the    age    of    90    and    retain    either    the    mind    or    body    of    a    30 -Â­â year -Â­â old     for    the    last    60    years    of    your    life,    which    would    you     want? ","If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old 
for the last 60 years of your life, which would you want? ","Given that its a healthy 30 year old body, I would rather have that since I would assume we grow wiser as we age.If    you    were    able    to    live    to    the    age    of    90    and    retain    either    the    mind    or    body    of    a    30 -Â­â year -Â­â old     for    the    last    60    years    of    your    life,    which    would    you     want? ","I was about to say the same thingI don't think I would want to have a brain that doesnt have the memories of age IF you could change anything about the way you were raised, what would it be? ","If you could change anything about the way you were raised, what would it be?","My parents were very strict and did not trust us and made us completely dependent on them, therefore that made me less confident in many aspects.I would change their strictness. If you could change anything about the way you were raised, what would it be? ","I love my parents but sometimes they were a bit too overprotective and didn't let me fail. I wish they had let me fail a bit more so I could know I had the ability to get back upIf you could wake up tomorrow having gained any one quality or ability, what would it be? ","If you could wake up tomorrow having gained any one quality or ability, what would it be?","I would hope to be able to control/cope with my stress levels.If you could wake up tomorrow having gained any one quality or ability, what would it be? ","I wish I was more assertive and better at confrontationIf    a    crystal    ball    could    tell    you    the    truth    about    yourself,    your    life,    the    fu ture,    or    anything    else,     what    would    you    want    to    know? ","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, 
what would you want to know?","I would want to know if I will change my mind about having kids.If a crystal ball could tell you the truth about yourself, your life, the fu ture, or anything else, what would you want to know? ","I wish I would know if I ever made the move to NEw york / how it wasWhat is the greatest accomplishment of your life? ","What is the greatest accomplishment of your life?","Getting into UCB.What is the greatest accomplishment of your life? ","same i thinkWhat is your most treasured memory? ","What is your most treasured memory?","not sure, the first thing that popped in my mind was just conversating with my mom.What is your most treasured memory? ","I think mine would be the times hiking around in Ireland - it was so beautifulIf    you    knew    that    in    one    year    you    would    die    suddenly,    would    you    change    anything    about    the     way    you    are now    living?    Why? ","If you knew that in one year you would die suddenly, would you change anything about the 
way you are now living? Why?","yes, I would reach out more to my loved ones. Im very closed off/emotionally distant","I wish I didn't spend so much time worrying about what other peoplethought of me and just tried to do what makes me happyHow do you feel about your relationship with your mother? ","How do you feel about your relationship with your mother?","it can improve,we are emotinally distant at times, not affectionate what so everHow do you feel about your relationship with your mother? ","its good! but we had a bit of a complicated past so that makes our communication a bit hard osmetimesShare with your partner an embarrassing moment in your life. ","Share with your partner an embarrassing moment in your life","in 5th grade I was sitting on the floor for an assembly with my feet crossed and my legs fell asleep so when it was over, I tried getting up and fell over. I tried getting up again and fell again. people had to help me walkShare with your partner an embarrassing moment in your life ","agh thats awful! thanks for sharing :)um i think for me it was 2 years ago on the 51b where the bus jerked and i fell and my skirt blew over my head lol When did you last cry in front of another person? By yourself? ","When did you last cry in front of another person? By yourself?","yesterdayWhen did you last cry in front of another person? By yourself? ","two days agoIf    you    were    to    die    this    e vening    with    no    opportunity    to    communicate    with    anyone,    what     would    you    most    regret    not    having    told    someone?    Why    haven't    you    told    them    yet? ","If you were to die this evening with no opportunity to communicate with anyone, what 
would you most regret not having told someone? Why haven't you told them yet?","My dad, that I look up to him as an immigrant and hard worker. I haven't said it yet because were very closed off to expressing our feelings.If you were to die this e vening with no opportunity to communicate with anyone, what would you most regret not having told someone? Why haven't you told them yet? ","That i love my mom and everythign she does for me, and that even though sometimes I may be really emotional, it has nothing to do with her great parentingYour    house,    containing    everything    you    own,    catches    fire.    After    saving    your    loved    ones    and     pets,    you    have    time    to     safely    make    a    final    dash    to    save    any    one    item.    What    would    it    be?     Why? ","Your house, containing everything you own, catches fire. After saving your loved ones and 
pets, you have time to safely make a final dash to save any one item. What would it be? 
Why?","My boyfiend's love letters.Your house, containing everything you own, catches fire. After saving your loved ones and pets, you have time to safely make a final dash to save any one item. What would it be? Why? ","my journal from middle schoolOf    all    the    people    in    your    family, whose    death    would    you    find    most    disturbing?    Why? ","Of all the people in your family, whose death would you find most disturbing? Why?","any one of my parents, im not mature enought to even wrap my head around how I would deal. or my nephewOf all the people in your family, whose death would you find most disturbing? Why? ","same, im not quite sure how i would wrap my head around itany of my parents ok i thikn we're done! "
"9",180,"R_3RaR9eb2ESPnZw0","R_277lmauj1a8Z6aq","Given the choice of anyone in the world, whom would you want as a dinner guest?","wayne rooneyGiven    the    choice     of    anyone    in    the    world,    whom    would    you    want    as    a    dinner    guest? ","Amal ClooneyWhat would constitute a ""perfect"" day for you? ","What would constitute a perfect day for you? ","beachWhat would constitute a ""perfect"" day for you?  :smiley: If    you    were    able    to    live    to    the    age    of    90    and    retain    either    the    mind    or    body    of    a    30 -Â­â year -Â­â old     for    the    last    60    years    of    your    life,    which    would    you     want? ","Having no responsibilities is the perfect day for meMind of a 30-year old If you were able to live to the age of 90 and retain either the mind or body of a 30 -Â­â year -Â­â old for the last 60 years of your life, which would you want? ","If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old 
for the last 60 years of your life, which would you want? ","Mind of a 30-year oldIf you could change anything about the way you were raised, what would it be? ","","If you could change anything about the way you were raised, what would it be?","I would want to have a dogIf you could change anything about the way you were raised, what would it be? ","2 dogsIf you could wake up tomorrow having gained any one quality or ability, what would it be? ","If you could wake up tomorrow having gained any one quality or ability, what would it be?","Intelligence like Bradley Cooper in LimitlessIf you could wake up tomorrow having gained any one quality or ability, what would it be? ","fast walkerIf    a    crystal    ball    could    tell    you    the    truth    about    yourself,    your    life,    the    fu ture,    or    anything    else,     what    would    you    want    to    know? ","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, 
what would you want to know?","Where will I be in 10 years? At what age do I retire?If a crystal ball could tell you the truth about yourself, your life, the fu ture, or anything else, what would you want to know? ","how many dogs will i have in futureWhat is the greatest accomplishment of your life? ","What is the greatest accomplishment of your life?","Getting into BerkeleyWhat is the greatest accomplishment of your life? ","sameWhat is your most treasured memory? ","What is your most treasured memory?","Graduating high schoolWhat is your most treasured memory? ","samef    you    knew    that    in    one    year    you    would    die    suddenly,    would    you    change    anything    about    the     way    you    are now    living?    Why? If    you    knew    that    in    one    year    you    would    die    suddenly,    would    you    change    anything    about    the     way    you    are now    living?    Why? ","If you knew that in one year you would die suddenly, would you change anything about the 
way you are now living? Why?","I would drop out of school, because my education would not matter as muchIf you knew that in one year you would die suddenly, would you change anything about the way you are now living? Why? ","i would take more walks to get experiencesHow do you feel about your relationship with your mother? ","How do you feel about your relationship with your mother?","It is going wellHow do you feel about your relationship with your mother? ","need to talk moreShare with your partner an embarrassing moment in your life. When did you last cry in front of another person? By yourself? ","Share with your partner an embarrassing moment in your life","I spilled an entire acai bowl on the sidewalk in front of the CampanileShare with your partner an embarrassing moment in your life. ","i made embarasing typoWhen did you last cry in front of another person? By yourself? ","When did you last cry in front of another person? By yourself?","When did you last cry in front of another person? By yourself?","two years ago, one year ago","If you were to die this evening with no opportunity to communicate with anyone, what 
would you most regret not having told someone? Why haven't you told them yet?","Not saying goodbye to my cat, because I'm not very fond of herIf you were to die this e vening with no opportunity to communicate with anyone, what would you most regret not having told someone? Why haven't you told them yet? ","not saying thank you, becuase being grateful is importantYour    house,    containing    everything    you    own,    catches    fire.    After    saving    your    loved    ones    and     pets,    you    have    time    to     safely    make    a    final    dash    to    save    any    one    item.    What    would    it    be?     Why? ","Your house, containing everything you own, catches fire. After saving your loved ones and 
pets, you have time to safely make a final dash to save any one item. What would it be? 
Why?","My contact lenses, because I have bad eyesightYour house, containing everything you own, catches fire. After saving your loved ones and pets, you have time to safely make a final dash to save any one item. What would it be? Why? ","laptop becuase school","Of all the people in your family, whose death would you find most disturbing? Why?","father, becuase too youngOf    all    the    people    in    your    family, whose    death    would    you    find    most    disturbing?    Why? ","My brother, because he's the youngest in the family"
"10",181,"R_31Yrs17sa6aq6mu","R_3EHc2VFFrzme46w","Given the choice of anyone in the world, whom would you want as a dinner guest?","I think Barack Obama would be a pretty cool guy to have dinner with at this point in timehow about you? ","","What would constitute a perfect day for you? ","wake up late with no alarm, go out and spend the day in SF, go out for dinner + drinks at nightwhat about you? ","","If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old 
for the last 60 years of your life, which would you want? ","hmmmprobably the mind. i feel like by the time i'm 90 technology will be good enough that i can regenerate my body / get plastic surgery you?? ","","If you could change anything about the way you were raised, what would it be?","i wish my mom had forced me to keep doing more things! she was too nice and let me quit everything i didnt like (like ballet)you?? ","","If you could wake up tomorrow having gained any one quality or ability, what would it be?","hmmm probably the ability to talk to anyone / be able to make others feel good about themselves. i feel like that's a pretty powerful ability to haveyou?? ","","If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, 
what would you want to know?","probably nothing about myself personally bc tha'ts honetsly super stressful. but maybe to know if Donald Trump is going to wreck America hahahbu?? ","","What is the greatest accomplishment of your life?","definitely not sure if this is the greatest accomplishment of my life but i just landed my dream summer internship so i'm pretty stoked about that!!and you?? ","","What is your most treasured memory?","oh thats interesting we're both berkeley haas then - i originally thought this study matched us w/ someone from like another schooland hmmm probably backpacking europe with my rooomate freshman year! lots of international shenanigans :) how about you? ","","If you knew that in one year you would die suddenly, would you change anything about the 
way you are now living? Why?","Bill GatesWhat    would    constitute    a    ""perfect""    day    for    you? ","yeahprobably care less about school tbh LOL what about you?? ","How do you feel about your relationship with your mother?","i think we're super close since i dont have any siblings and she's a single parent!you?? ","","Share with your partner an embarrassing moment in your life","mmmm can't think of anything too embarassing off the top of my head but the other day someone i clearly didnt know waved at me and i waved back anyways but then i found out that they were waving at the person behind meand i wanted to die LOL you?? ","","When did you last cry in front of another person? By yourself?","last weekend i went to a club retreat and i got so drunk that i just picked a fight a fight w/ my boyfriend and started cryingexcept i dont really remember ","","If you were to die this evening with no opportunity to communicate with anyone, what 
would you most regret not having told someone? Why haven't you told them yet?","i probably would regret not calling my mom for like the past monthbut also she's been in china so idk if she even has service??? how about you? ","","Your house, containing everything you own, catches fire. After saving your loved ones and 
pets, you have time to safely make a final dash to save any one item. What would it be? 
Why?","prob my laptop??its like the only singular item that is worth something by itself you? ","","Of all the people in your family, whose death would you find most disturbing? Why?","i mean youc ant have likeone clothes my mom because we're the closest!! you?? :) ",""
